,HighWeight,LowWeight,RelativeWeight
RUNNING TIPS,9.0,,
BRAND NAMES,6.0,,
VERBAL INTRODUCTION,6.0,,
WEATHER CONDITIONS,6.0,,
AUDIO RHYTHM,1.0,,
INTRODUCTION TEXT,7.0,,
MUSICAL EXCERPT,,6.0,
REAL FREAK BY BANDGANG LONNIE,,1.0,
ENGAGEMENT AND EMPHASIS,,7.0,
EXCITEMENT AND ENTHUSIASM,,7.0,
PINXIES STAR WISH TOWER,9.0,,
SPONSORED VIDEO INDICATORS,14.0,,
BRIGHT COLOR SCHEME,7.0,,
GRAPHIC ELEMENTS,1.0,,
UPBEAT INSTRUMENTAL MUSIC,7.0,,
PARENTS AND CHILDREN,16.0,,
COSMIC THEME,7.0,,
CHOKING HAZARD WARNING,1.0,,
TOY ASSEMBLY PROCESS,9.0,,
DAY IN MY LIFE VLOG,10.0,,
UNIVERSITY CAMPUS,9.0,,
STUDY ROUTINE,8.0,,
CAMPUS EXPLORATION,8.0,,
SOCIAL INTERACTION,8.0,,
EXTRACURRICULAR ACTIVITIES,8.0,,
CONCLUSION SEGMENT,7.0,,
BAY AREA,8.0,,
BART,8.0,,
FRUITVALE STATION,8.0,,
GRAND LAKE KITCHEN,8.0,,
LAKE MERRITT,7.0,,
MONTCLAIR,7.0,,
PHOTO LAB,8.0,,
SEPHORA,7.0,,
"FOURTH STREET, BERKELEY",7.0,,
KIMCHI RICE BOWL,7.0,,
AUDIO NARRATION,18.0,,
URBAN STREET SCENE,8.0,,
ARCHITECTURE,7.0,,
STREET ELEMENTS,7.0,,
SIGNAGE,7.0,,
NEST WITH ME DAY 1,9.0,,
HOME ORGANIZATION,8.0,,
ROOM WITH NEUTRAL COLORS,7.0,,
BABY CLOTHES ORGANIZATION,8.0,,
PARENTS,15.0,,
BABY LAUNDRY DETERGENT,1.0,,
EXPRESSIONS AND GESTURES,8.0,,
GOLDEN-BROWN COLOR PALETTE,1.0,,
HAT,7.0,,
IPHONE 14 PRO,8.0,,
GALAXY Z FLIP 4,1.0,,
TIKTOK CLIP,18.0,7.0,2.5714285714285716
VIEWER COMMENT,8.0,,
VOLCANO BAY,15.0,,
MIRROR OR PICTURE FRAME,1.0,,
GENTLE GAZE,1.0,,
WOMAN SPEAKER,18.0,,
UNIVERSAL STUDIOS,7.0,,
PARKING PROCESS,9.0,,
SHUTTLE BUS,8.0,,
SECURITY CHECKPOINT,7.0,,
TICKET COUNTER,1.0,,
PARKING GARAGE,8.0,,
BLOW-DRYING BRUSH,8.0,,
HOME ENVIRONMENT,8.0,,
SYNTH SOUND EFFECT,1.0,,
HAIR STYLING TECHNIQUE,8.0,7.0,1.1428571428571428
MAKEUP SCENARIO,,7.0,
CONFIDENCE BOOST,,7.0,
VIDEO CONTENT,1.0,,
SEATTLE FOREST SETTING,,7.0,
GRWM THEME,,7.0,
PRODUCT SHOWCASE,,8.0,
NATURE BACKDROP,,7.0,
OUTDOOR FOREST SETTING,8.0,,
MAKEUP PRODUCT,9.0,,
MUSIC BOX AUDIO,7.0,,
STRING ORCHESTRA AUDIO,8.0,,
FLUTE AUDIO,1.0,,
ARM AND HAND MOVEMENTS,8.0,,
ENTHUSIASM,32.0,,
DEMEANOR,9.0,,
PIANO AUDIO,1.0,,
DESK LAMP,7.0,,
MICROPHONE STAND,7.0,,
FRAMED PICTURE/ART,6.0,,
HAT/CAP,6.0,,
CANON MIRRORLESS CAMERA,8.0,,
CANON R6,8.0,,
SENNHEISER MKE 400,8.0,,
TRENDING TOPIC,8.0,,
PERSONAL STORY,8.0,,
HUMOROUS TAKE,8.0,,
CHIME SOUND EFFECT,7.0,,
AUDIO CHARACTERISTICS,9.0,,
PAUSES AND SILENCES,1.0,6.0,0.16666666666666666
SPEAKING VOICE,9.0,,
STROLLER,8.0,,
INTRODUCTION AND INTERACTION,8.0,,
HANDLING AND DEMONSTRATION,7.0,,
POSTURE AND MOVEMENTS,8.0,,
INDOOR LIGHTING,1.0,,
RELATIONSHIP DISCUSSION,,7.0,
DRUG-RELATED DISCUSSION,,1.0,
CASUAL ENVIRONMENT,,6.0,
AGGRESSIVE TONE,,6.0,
POOR AUDIO QUALITY,,5.0,
EXPRESSIVE GESTURES,8.0,7.0,1.1428571428571428
YOGA MAT AND DUMBBELLS,8.0,,
SPEND THE MORNING WITH ME TEXT OVERLAY,8.0,,
SUSPENSEFUL MUSIC TRACK,8.0,,
PALM TREES,7.0,,
PARKED CARS,6.0,,
APARTMENT BUILDINGS,7.0,,
WARM CLIMATE,1.0,,
MEMORIAL DAY,7.0,,
PRODUCT INTRODUCTION & INTERACTION,8.0,,
PRESENCE OF ENTHUSIASM,7.0,,
SOFT AND NEUTRAL COLORS,7.0,,
KITCHEN SETUP,8.0,,
FAST-FOOD MEAL,8.0,,
CASUAL INTERACTION,9.0,,
SAUCE PACKETS,7.0,,
BEVERAGE,7.0,,
FOOD AND DRINK ITEMS,8.0,,
TACO BELL'S BREAKFAST CRUNCHWRAP,8.0,,
COLD DRINK WITH STRAW,7.0,,
PACKAGED SNACKS,7.0,,
SOUNDS OF FOOD BEING HANDLED,8.0,,
EXAGGERATED SOUND EFFECTS,8.0,,
PAPER BAG WITH LOGO,7.0,,
BREAKFAST ITEM,8.0,,
AUDIO DYNAMICS,8.0,,
HUMAN PERCEPTION,7.0,,
COMPRESSION/NORMALIZATION,7.0,,
WAVEFORM DISPLAY,6.0,,
PEAK METER,6.0,,
PERCEIVED LOUDNESS,1.0,,
EMPHASIS REPETITION,8.0,,
FASHION SHOWCASE,,7.0,
OUTDOOR URBAN SETTING,8.0,6.0,1.3333333333333333
OVERALL MOVEMENT,,7.0,
SHADOW PATTERNS,,1.0,
COZY SETTING,,6.0,
COFFEE PRODUCT,,7.0,
GIORGIO ARMANI MY WAY PERFUME,,6.0,
MORNING COFFEE WALK,,7.0,
LIGHT MAKEUP,,6.0,
FAMILY,,7.0,
DAD,,6.0,
MOM,,6.0,
LATTE,,1.0,
ROMANTIC MOMENT,9.0,,
FORMAL ATTIRE,8.0,,
WARM EARTHY SETTING,8.0,,
MELANCHOLIC MUSIC,1.0,,
LIGHT-COLORED SUIT,8.0,,
DECORATIVE FLOWERS,7.0,,
TERRACOTTA POT,7.0,,
RUSTIC WALL,8.0,,
GREENERY,7.0,,
RED FLOWERS,1.0,,
WHITE DRESS,8.0,,
QUIET AUDIO,1.0,,
NOISE LEVEL,7.0,,
MINIMAL SILENCES,1.0,,
MERCEDES BENZ STADIUM,8.0,,
FITNESS EVENT,9.0,,
GOLDEN RETRIEVER,,7.0,
SHAMPOO BOTTLE,,7.0,
ORANGE AND WHITE STRIPED TOWEL,,5.0,
DECORATIVE WALLPAPER,,5.0,
TOILET PAPER HOLDER,6.0,4.0,1.5
WOODEN FLOORING,,1.0,
INTERACTION AND ENGAGEMENT,,7.0,
INTRODUCTION,,6.0,
APPLICATION,,7.0,
RESULTS,,6.0,
PET CARE THEME,,7.0,
PUP'S WORLD POTTY PADS,9.0,,
PATTERNED WALLPAPER,6.0,,
VANITY AND MIRROR,1.0,,
TOWEL RAIL,6.0,,
FEMALE INFLUENCERS,8.0,,
PHOTO SHOOT SESSION,9.0,,
REAL ESTATE GROUP,8.0,,
WELL-DECORATED INTERIOR,8.0,,
PHOTOGRAPHER,8.0,,
THREE WOMEN,8.0,,
CAMERA EQUIPMENT,7.0,,
"RALEIGH, NORTH CAROLINA",7.0,,
SYNTH MELODY,7.0,,
STUDIO ENVIRONMENT,6.0,,
NON-VERBAL VOCALIZATIONS,2.0,,
PHOTOSHOOT MENTION,7.0,,
CAMERA PHONE MENTION,7.0,,
PAPARAZZI MENTION,7.0,,
PARANOID MENTION,1.0,,
FOOD REVIEW,,7.0,
CAVA ORDER,,6.0,
BASEBALL CAP,5.0,,
TEXT BRAND ON HOODIE,6.0,,
TEXTURED WALL,7.0,,
DOOR WITH WINDOW,6.0,,
TRIP TO CALIFORNIA,,7.0,
SHOPPING,,7.0,
FOOD AND DRINK PREPARATION,,7.0,
PERSONAL CARE,,7.0,
TRANSPORTATION PLANNING,,7.0,
DELTA APP,,7.0,
SAN DIEGO,,6.0,
PACKING AND ORGANIZING,,7.0,
SUNDAY VIBES,,6.0,
CHRISTMAS TREE,,6.0,
EYEBROW ENHANCEMENT,8.0,,
BACKGROUND DECOR,1.0,,
LIGHT-COLORED GARMENT,6.0,,
RED HAIR,6.0,,
TALL FLOOR LAMP,1.0,,
HAIR PRODUCT,8.0,,
TUTORIAL/DEMONSTRATION,8.0,,
POSITIVITY AND ENGAGEMENT,1.0,,
TRANSFORMATION NARRATIVE,8.0,,
FEMALE SINGER,17.0,,
MUSICAL ACCOMPANIMENT,8.0,,
GLAMOROUS SETTING,8.0,,
PINK THEME DECORATIONS,7.0,,
TIERED CAKE,7.0,,
LIGHTING EQUIPMENT,6.0,,
MAGAZINE OR BOOKLET,6.0,,
WRAPPED PRESENTS,6.0,,
FLUFFY WHITE RUG,6.0,,
TABLE WITH WHITE FABRIC,6.0,,
LIGHT SOURCE,6.0,,
ROOM ACOUSTICS,6.0,,
ELECTRONICS,1.0,,
PINK VELVET CHAIR,7.0,,
GUITARS,7.0,,
SOCIAL MEDIA TAG,1.0,,
AMUSED EXPRESSION,8.0,,
SURPRISED EXPRESSION,7.0,,
POV SCENARIO,8.0,,
HUMOROUS THEME,8.0,,
AUDIO ECHO,7.0,,
OMINOUS CHIME,1.0,,
NECKLACE WITH CROSS PENDANT,,5.0,
TIKTOK USERNAME AND LOGO,,7.0,
LOUD BEEP,,1.0,
AUDIO CONSISTENCY,,6.0,
DATE MENTION,,6.0,
MESSAGE END,,1.0,
DRINK,6.0,,
MENTAL HEALTH BREAK,9.0,,
CASUAL POSTURE,8.0,,
HOME-LIKE BACKGROUND,9.0,,
INSTAGRAM STORIES,7.0,,
SOCIAL MEDIA PRESSURE,8.0,,
HUMOR,1.0,,
SOCIAL MEDIA WATERMARKS,7.0,,
DRINK WITH STRAW,7.0,,
WINDOW WITH BLINDS,8.0,,
LIGHT-COLORED SWEATER,7.0,,
PIANO CHORDS,1.0,,
MENTAL HEALTH TOPIC,9.0,,
FASHION PRODUCTS,,7.0,
BRAND PACKAGING,,7.0,
CHIC PRESENTATION,,7.0,
CLASSIC STAPLE PIECES,,7.0,
MOTIVATIONAL TONE,,1.0,
PACKAGE,8.0,,
SHADOWS,6.0,,
CONVERSATION,8.0,,
MOTIVATIONAL CAPTION,7.0,,
CREATING SUSPENSE,7.0,,
TURN-TAKING,8.0,,
CONVERSATION DYNAMICS,1.0,,
BRACKET-STYLE GAME,,7.0,
STEVE MADDEN,8.0,7.0,1.1428571428571428
SHOE MODELS,,1.0,
PRODUCT INTEGRATION,,7.0,
ENGAGEMENT STRATEGY,,7.0,
INFLUENCER INTERACTION,,7.0,
NEUTRAL/FOCUSED EXPRESSION,,6.0,
SLIGHT SMILE,,6.0,
THOUGHTFUL/CURIOUS EXPRESSION,,6.0,
CONTENT EXPRESSION,,6.0,
BRAND DISPLAY,,7.0,
GRAPHIC TEXT AND ICONS,7.0,,
ENTHUSIASM AND ENGAGEMENT,7.0,,
PLATFORMS,7.0,,
MARCH MADNESS FILTER,1.0,,
SHOE SELECTION TASK,9.0,,
INTONATION,8.0,,
PACE,1.0,,
MORNING VLOG,10.0,,
LOG CABIN SETTING,9.0,,
ROMANTIC R&B SONG,1.0,,
SOFT AND MUTED COLORS,8.0,,
FLORAL PATTERNS,7.0,,
CALMING VIBE,9.0,,
SELF-CARE PRACTICES,8.0,,
WELLNESS CONTENT,9.0,,
RUSTIC ATMOSPHERE,9.0,,
ON-SCREEN COMMENT,8.0,,
RACIAL EXCLUSIVITY,8.0,,
CHAIN NECKLACE,6.0,,
BLUE SLEEVELESS SHIRT,1.0,,
NIGERIAN LAW,8.0,,
EMPHATIC TONE,8.0,,
SPEECH PATTERN,1.0,,
LISTENER CHALLENGE,6.0,,
SPEECH CLARITY,7.0,,
TREADMILL,16.0,,
FITNESS TIPS,9.0,,
GYM OR HOME WORKOUT AREA,7.0,,
RUNNING POSTURE,8.0,,
VISUAL CUES,7.0,,
VERBAL CUES,7.0,,
LOGOS AND BRAND NAMES,6.0,,
TREADMILL RUNNING TECHNIQUES,8.0,,
GRAY SHIRT,5.0,,
RED SHORTS,1.0,,
LO-FI HIP HOP MUSIC,8.0,,
VOCAL SAMPLE,1.0,,
SMARTPHONE,16.0,7.0,2.2857142857142856
AUDIO COMMENTARY,,1.0,
TECHNOLOGY CRITIQUE,,6.0,
CLEAR IPHONE CASE,,12.0,
AUDIENCE REACTION,,1.0,
HUMOROUS SCENARIO,,7.0,
SILENT SECTIONS,,6.0,
ANGRY TONE,,6.0,
SOUNDS OF DISGUST,,7.0,
MOCKING TONE,,6.0,
SKINCARE DISCUSSION,7.0,,
TROPICAL SETTING,8.0,,
PATRIOTIC SETTING,,7.0,
CHRISTOPHER CHAOS LOGO,,6.0,
GRUNT STYLE,,7.0,
RED LED LIGHTING,,5.0,
"CAP WITH ""BATTLE AGILE""",,6.0,
"SHIRT WITH ""EMBRACE THE SUCK""",,7.0,
AMERICAN FLAG,,6.0,
GRUNT STYLE PRODUCTS,1.0,,
PLANNED MESSAGE,1.0,,
UPBEAT TONE,8.0,,
TECH-RELATED BACKGROUND,7.0,,
PRODUCT PRESENTATION,9.0,,
PIXEL FEATURES,8.0,,
BEST BUY CANADA,1.0,,
DOMINANT COLORS,7.0,,
MONITOR OR TV SCREEN,7.0,,
VOICE DICTATION,1.0,,
OOTN CLIP,9.0,,
WHITE LONG-SLEEVE TOP,8.0,,
BLUE JEANS,8.0,,
FASHION SPONSORSHIP,7.0,,
KITCHEN ELEMENTS,7.0,,
GLOSSIER,7.0,,
THRIFTED SHOES,7.0,,
CARPENTER JEANS,7.0,,
SPOKEN CONTENT,8.0,,
AMBIENT CITY NOISE,7.0,,
RUSTLING CLOTHES,7.0,,
BAG ZIPPING,7.0,,
FOXTAL PRODUCTS,8.0,,
PRODUCT DEMONSTRATION,8.0,,
SUNGLASSES STORY,1.0,,
HAIRCARE TUTORIAL,,7.0,
HAIR-PLAY GESTURE,,1.0,
DIY BEAUTY TIPS,,7.0,
INDOOR BATHROOM SETTING,8.0,,
PEACH-COLORED SWEATSHIRT,7.0,,
MIRROR REFLECTION,6.0,,
DOORWAY,6.0,,
MUTED BACKGROUND,7.0,,
FAST TEMPO,8.0,,
HIGH ENERGY,1.0,,
SHOWER STALL,6.0,,
DIY LASH EXTENSIONS,8.0,,
PERSONAL ENVIRONMENT,8.0,,
AUTHENTIC ENGAGEMENT,9.0,,
PRODUCT VISIBILITY,7.0,,
VERBAL PROMOTION,7.0,,
COMFORT,8.0,,
MIXED EMOTIONS,8.0,,
AYA NAKAMURA,,7.0,
GOLD NECKLACE,7.0,4.0,1.75
MALE VOCALIST SONG,,1.0,
LIGHT BEIGE WALL,,1.0,
JOYFUL EXPRESSION,,6.0,
SYNTHESIZER,8.0,,
ELECTRONIC DRUMS,8.0,,
FRENCH LYRICS,1.0,,
COFFEE SHOP SETTING,,6.0,
NARRATIVE THEME,,7.0,
AXE-THROWING ESTABLISHMENT,,6.0,
MIDDLE-AGED COUPLE,,6.0,
PERSONAL TRAINER,,6.0,
CLICKBAIT OPPORTUNITY,,1.0,
HIGH CHAIRS,,6.0,
GLASS PARTITIONS,,6.0,
METAL STOOLS,,6.0,
LAMINATE FLOOR,,6.0,
WOODEN WALLS,,6.0,
GLASS PANELS,,1.0,
KOSAS PRODUCT,9.0,,
FEMALE NARRATOR,9.0,,
DREAM BEAM SUNSCREEN,9.0,,
REVEALER SKIN-IMPROVING FOUNDATION,8.0,,
GLOW IV VITAMIN INFUSED SKIN ENHANCER,8.0,,
KOSAS WET LIP OIL,8.0,,
AIR BROW VOLUMIZING GEL,1.0,,
BEACH DAY MAKEUP LOOK,8.0,,
ANIMATED SCENE,,7.0,
ROWBOAT,,6.0,
CROW,7.0,5.0,1.4
MOON,8.0,5.0,1.6
MOUNTAINOUS LANDSCAPE,,5.0,
NIGHT SKY,,5.0,
BODY OF WATER,,6.0,
NIGHT-TIME BACKDROP,8.0,,
