,HighWeight,LowWeight,RelativeWeight
BOTTLE OR DISPENSER,,5.0,
WALL MOULDINGS,,5.0,
WHITE COLUMN,,5.0,
SASSY TONE,,6.0,
BUCKLE,,6.0,
DIESEL,,6.0,
LICENSE,,5.0,
CARMEX,,5.0,
TAMPON,,5.0,
LIPSTICK,,5.0,
HIGH-PITCHED TONE,,6.0,
RISING INFLECTION,,6.0,
EXCLAMATORY HIGH NOTES,,6.0,
MIXED ARTICULATION CLARITY,,5.0,
RUSTLING NOISES,,5.0,
CASUAL OUTFIT,7.0,7.0,1.0
EMOTIONAL TONE,9.0,7.0,1.2857142857142858
CONTENT MANAGEMENT ADVICE,8.0,,
COZY HOME SETTING,8.0,,
NOTEBOOK OR TABLET,7.0,,
FITNESS THEME,8.0,,
HOME GYM,8.0,,
TREADMILL EXERCISE,8.0,,
LO-FI MUSIC,7.0,,
EXPOSED WOODEN BEAMS,7.0,,
BRIGHT PINK TOP,7.0,,
FRAMED PICTURE,6.0,,
BLACK ELECTRICAL CORD,1.0,,
WORKOUT CLOTHES,8.0,,
ONE THING PHRASE,8.0,,
CHORUS MELODY,8.0,,
FOOD REVIEW,8.0,,
CAVA ORDER,6.0,,
AUDIO ELEMENTS,1.0,,
PRODUCT PROMOTION,8.0,,
KARAOKE BAR,,6.0,
PEACE SIGN,,5.0,
STRING LIGHTS,,5.0,
CRATES,,4.0,
VINYL NIGHT,,6.0,
1980S MUSIC,,1.0,
TABLES OR COUNTERS,,4.0,
TENTS OR AWNING,,4.0,
CASUAL RESTAURANT,,6.0,
UPCOMING REVEAL,8.0,,
TAYLOR SWIFT CUPCAKES,7.0,,
ERAS TOUR,7.0,,
TAYLOR SWIFT MUSIC,1.0,,
SHOPPING EMOJIS,6.0,,
SEAT BELT,6.0,,
UPBEAT POP MELODY,8.0,,
SYNTHESIZED SOUNDS,7.0,,
PROMINENT DRUMS,7.0,,
HIGH-PITCHED VOICE,9.0,,
CONVERSATIONAL PACE,8.0,,
TENSION AND RELEASE,8.0,,
ENERGETIC TONE,9.0,,
INVITING TONE,8.0,,
SPARKLING STARS EMOJI,7.0,,
BLUE DIAMOND EMOJI,7.0,,
REFRESH SYMBOL EMOJI,7.0,,
SHOPPING BAGS EMOJI,1.0,,
SPARKS FLY,9.0,,
VIDEO BLOG,8.0,,
TAYLOR SWIFT-THEMED CUPCAKES,1.0,,
TAYLOR SWIFT,8.0,,
TEMU,,7.0,
DISCOUNT CODE,,7.0,
PRODUCT REVIEW,,1.0,
VACUUM CLEANER,7.0,,
DYNAMIC HAND GESTURES,,6.0,
KITCHEN CABINETS,,5.0,
GAVEL,,6.0,
PENDANT NECKLACE,,5.0,
PRODUCT SOUNDS,,6.0,
WHOOSH SOUND,,5.0,
DING SOUND,,1.0,
ANIMATED EXPRESSIONS,,7.0,
DYNAMIC AUDIO,9.0,,
TIMESTAMPED SOUNDS,1.0,,
SOFTWARE MEASUREMENT,8.0,,
POTENTIALLY LOUDER MOMENTS,8.0,,
POTENTIALLY QUIETER MOMENTS,7.0,,
OVERALL PACING,8.0,,
HUMAN PERCEPTION,7.0,,
TRIP TO CALIFORNIA,9.0,,
DELTA APP,7.0,,
FRIENDS' VACATION,1.0,,
SHOPPING,8.0,,
FOOD AND DRINK PREPARATION,8.0,,
PERSONAL CARE,8.0,,
TRANSPORTATION PLANNING,8.0,,
PACKING AND ORGANIZING,8.0,,
EXAGGERATED FACIAL EXPRESSIONS,,7.0,
DYNAMIC GESTURES,,7.0,
MUSICAL EXCERPT,,14.0,
REAL FREAK BY BANDGANG LONNIE,,2.0,
REAL FREAK,8.0,,
BANDGANG LONNIE,7.0,,
AUDIO ANALYSIS GUIDANCE,6.0,,
PAUSE ANALYSIS,1.0,,
HEAVY 808 BASS,7.0,,
UPBEAT MOOD,8.0,,
AGGRESSIVE TONE,1.0,5.0,0.2
CASUAL SPEECH,7.0,,
PINXIES STAR WISH TOWER,8.0,,
PRODUCT PACKAGING,15.0,,
GRAPHIC ELEMENTS,7.0,,
UPBEAT INSTRUMENTAL MUSIC,1.0,,
SPONSORED VIDEO INDICATOR,7.0,,
COSMIC THEME,7.0,,
CHOKING HAZARD WARNING,1.0,,
TOY ASSEMBLY THEME,8.0,,
DAY IN MY LIFE VLOG,9.0,,
UNIVERSITY CAMPUS,8.0,,
STUDY ROUTINE,8.0,,
CAMPUS EXPLORATION,8.0,,
SOCIAL INTERACTION,8.0,,
EXTRACURRICULAR ACTIVITIES,8.0,,
CONCLUSION SEGMENT,7.0,,
URBAN OUTDOOR SETTING,1.0,,
PRODUCT FEATURES AND INTERACTION,8.0,,
BODY POSTURES AND MOVEMENTS,1.0,,
SPONSORED CONTENT IDENTIFICATION,8.0,,
BAY AREA,8.0,,
BART,8.0,,
FRUITVALE STATION,8.0,,
GRAND LAKE KITCHEN,8.0,,
LAKE MERRITT,7.0,,
MONTCLAIR,7.0,,
SEPHORA,7.0,,
"FOURTH STREET, BERKELEY",7.0,,
KIMCHI RICE BOWL,7.0,,
ARCHITECTURE,7.0,,
STREET ELEMENTS,7.0,,
SIGNAGE,7.0,,
BUSTLING SHOPS,7.0,,
RESTAURANTS,7.0,,
NEST WITH ME DAY 1,9.0,,
HOME ORGANIZATION,8.0,,
ROOM SETTING,8.0,,
BABY CLOTHES,8.0,,
BRAND OF BABY LAUNDRY DETERGENT,1.0,,
CASUAL DEMEANOR,8.0,,
CLEANING TASKS,7.0,,
BRIGHT NATURAL LIGHTING,7.0,,
BLUE TOP,6.0,,
REED DIFFUSER,6.0,,
STACKED BOOKS,6.0,,
CANDLE,6.0,,
JOYFUL TONE,8.0,,
BABY'S ROOM,8.0,,
DRESSER,6.0,,
BUILT-IN WARDROBE,6.0,,
THROW BLANKET,6.0,,
COLORFUL NURSERY,7.0,,
EXCITEMENT,8.0,,
SCENT OF LAUNDRY DETERGENT,6.0,,
STORYTELLING THEME,8.0,,
HAT,7.0,,
IPHONE 14 PRO,8.0,,
GALAXY Z FLIP 4,9.0,,
GOLDEN-BROWN COLOR PALETTE,8.0,,
TIKTOK CLIP,18.0,7.0,2.5714285714285716
VIEWER COMMENT,8.0,,
VOLCANO BAY,8.0,,
GAZE DIRECTION,7.0,,
HEAD POSITION,7.0,,
TONE AND SPEECH,8.0,,
UNIVERSAL STUDIOS,7.0,,
PARKING PROCESS,9.0,,
SHUTTLE BUS,8.0,,
SECURITY CHECKPOINT,7.0,,
TICKET COUNTER,7.0,,
PARKING GARAGE,8.0,,
BLOW-DRYING BRUSH,8.0,,
AT HOME BLOWOUT,9.0,,
SPONSORED CONTENT,14.0,8.0,1.75
SHELVES AND DECOR,7.0,,
HAIR STYLING TECHNIQUE,9.0,,
NOSTALGIA COTTON CANDY & SNOW CONE MAKER,8.0,,
SAM'S CLUB,8.0,,
RETAIL PARTNERSHIP,7.0,,
VISUAL AND TEXTUAL EMPHASIS,8.0,,
USER ENGAGEMENT,8.0,,
PROMOTIONAL TONE,8.0,,
STORE AISLE SETTING,7.0,,
PRICE SIGNAGE,7.0,,
THE BEACH BOYS,9.0,,
"SONG ""WOULDN'T IT BE NICE""",9.0,,
LEAD VOCALS,8.0,,
BASS GUITAR,7.0,,
HARMONIES,9.0,,
PITCH CHARACTERISTICS,9.0,,
DAY,7.0,,
NEW,7.0,,
SOFT AND MELLOW TONE,8.0,,
GENTLE ACOUSTIC GUITAR,8.0,,
NATURAL AND INTIMATE FEEL,9.0,,
BREATHY DELIVERY,1.0,,
MORNING,7.0,,
SEATTLE FOREST,,7.0,
GRWM THEME,,7.0,
PRODUCT SHOWCASE,,8.0,
NATURAL AESTHETIC,,6.0,
OUTDOOR FOREST SETTING,9.0,,
MAKEUP PRODUCT,8.0,,
MUSIC BOX AUDIO,8.0,,
STRING ORCHESTRA AUDIO,8.0,,
FLUTE AUDIO,1.0,,
DEMEANOR,9.0,,
MUSIC BOX MELODY,8.0,,
STRING ORCHESTRA MELODY,8.0,,
FLUTE MELODY,8.0,,
PIANO MELODY,1.0,,
STROLLER,8.0,,
INTRODUCTION AND INTERACTION,8.0,,
HANDLING AND DEMONSTRATION,7.0,,
LIGHT SWITCHES/OUTLETS,7.0,,
DECORATIVE ELEMENT,7.0,,
CAT STROLLER,9.0,,
CAT MEOWS,1.0,,
VIEWER QUESTIONS,8.0,,
CATS,9.0,,
NEIGHBORHOOD WALKS,7.0,,
LEASHES,7.0,,
SEATING ARRANGEMENT,8.0,,
DETACHABLE POCKETS,8.0,,
COMMENTS,1.0,,
SOCIAL MEDIA WEEK LIMA,,7.0,
OUTFIT DESCRIPTION,7.0,7.0,1.0
CELEBRATORY HAND GESTURE,,6.0,
VOLUME AND TONE,,1.0,
EXCITED GESTURES,,7.0,
RELATIONSHIP DISCUSSION,,7.0,
CASUAL INDOOR SETTING,,6.0,
PERC 30,,1.0,
SIGNIFICANT OTHER,,6.0,
BIRTHDAY,,6.0,
INDOOR WALL,,5.0,
PINK AND RED SWEATER,,5.0,
SCOFFS/EXASPERATED SIGHS,,5.0,
FITNESS ELEMENTS,8.0,,
PERSONAL TOUCHES,8.0,,
VIDEO TEXT OVERLAY,7.0,,
SUSPENSEFUL MUSIC,7.0,,
DOOR-LIKE SOUND,2.0,,
PALM TREES,7.0,,
PARKED CARS,7.0,,
YOGA MAT,8.0,,
DUMBBELLS,8.0,,
WORKSPACE SETUP,7.0,,
COFFEE,7.0,,
SKINCARE,7.0,,
OUTFIT SELECTION,7.0,,
HAND WAVE,7.0,,
POSTURE CHANGES,8.0,,
WARM CLIMATE,8.0,,
APARTMENT BUILDINGS,7.0,,
CAR PARKING AREA,7.0,,
SILENT BACKGROUND NOISE,8.0,,
MEMORIAL DAY GRWM SEGMENT,8.0,,
PRODUCT INTRODUCTION & INTERACTION,8.0,,
TUTORIAL FORMAT,8.0,,
PRESENCE OF ENTHUSIASM,7.0,,
CHIME SOUND EFFECT,6.0,,
MAKEUP BY MARIO,8.0,,
RARE BEAUTY,8.0,,
MEMORIAL DAY,1.0,,
MAKEUP HACKS,8.0,,
LIPSTICK APPLICATION,8.0,,
SPANISH LANGUAGE AUDIO,8.0,,
COLOR-CHANGING LIPSTICKS,7.0,,
PINK AND NEUTRAL COLORS,6.0,,
VISUAL EFFECTS,6.0,,
SEARCH BAR,1.0,,
RETAIL STORE AISLE,8.0,,
LARGE BEVERAGE CONTAINER,7.0,,
PHONE CALL AUDIO,8.0,,
CLOTHING RACKS,7.0,6.0,1.1666666666666667
CHILDREN'S TOYS,7.0,,
SHOPPING CART,6.0,,
PRICE SIGNS,6.0,,
BALLOON DECORATION,5.0,,
BRIGHT COMMERCIAL LIGHTING,6.0,,
ECHOING,1.0,,
TOFU PACKAGE,,7.0,
ENGAGEMENT STRATEGIES,8.0,7.0,1.1428571428571428
KITCHEN BACKDROP,8.0,,
FRYING PAN,8.0,,
ATHENOS FETA CHEESE,8.0,,
HARISSA,7.0,,
EGG,7.0,,
DILL,7.0,,
TORTILLA,1.0,,
SIZZLING SOUNDS,8.0,,
SCRAPING SOUND,7.0,,
CLINKING SOUND,1.0,,
COOKING PROCESS,9.0,,
PLATING THE EGG AND CHEESE,8.0,,
TORTILLA COOKING,8.0,,
FINAL PRODUCT SHOWCASE,9.0,,
VISUAL PRESENTATION OF FOOD,8.0,,
BRIDGING GAP,8.0,,
DRAMATIC PAUSE,1.0,,
TRANSITION TO PLATING,8.0,,
GYM EQUIPMENT,,7.0,
GYM LOCATION,,6.0,
WORKOUT SESSION,,7.0,
YORK BARBELL,,6.0,
EXERCISE DEMONSTRATION,,7.0,
RUBBER FLOORING,,6.0,
SYNTHESIZER MELODY,,6.0,
DRUM MACHINE BEAT,,6.0,
BACKING VOCAL HARMONY,,6.0,
FASHION PRODUCTS,8.0,,
BRAND PACKAGING,7.0,,
MERCEDES BENZ STADIUM,8.0,,
FITNESS EVENT,9.0,,
OSEA STORE,,7.0,
CRANIAL WAVE FACIAL,,6.0,
LAURA,,6.0,
LOS ANGELES,,1.0,
A-FRAME SIGNBOARD,,5.0,
WOODEN BENCH,,5.0,
SUNLIGHT,,5.0,
FACIAL PRODUCTS,,1.0,
STORE SIGN,,6.0,
MARK,18.0,,
RELAXED SIGH,16.0,,
SLIGHT HESITATIONS,2.0,,
LIFESTYLE VIDEO,,7.0,
BRAS,,7.0,
WARNER'S,,7.0,
HASHTAG #WARNERSPARTNER,,7.0,
BACKGROUND DECOR,7.0,,
COLOR SCHEME,9.0,,
EYEBROW ENHANCEMENT,8.0,,
LIGHT-COLORED GARMENT,7.0,,
TALL FLOOR LAMP,1.0,,
POSTERS AND SHELVES,7.0,,
HAIR PRODUCT,8.0,,
PRODUCT DEMONSTRATION,9.0,,
POSITIVITY,9.0,,
TRANSFORMATION NARRATIVE,9.0,,
FEMALE SINGER,9.0,,
MUSICAL ACCOMPANIMENT,8.0,,
RHYTHMIC POP BEAT,8.0,,
COMPRESSION,7.0,,
DELAY,1.0,,
BACKGROUND VOCALS,7.0,,
GLAMOROUS SETTING,8.0,,
PINK THEME DECOR,7.0,,
TIERED CAKE,7.0,,
LIGHTING EQUIPMENT,7.0,,
PINK VELVET CHAIR,7.0,,
WRAPPED PRESENTS,6.0,,
FLUFFY WHITE RUG,6.0,,
MAGAZINE OR BOOKLET,7.0,,
OVERHEAD LIGHT SOURCE,1.0,,
PINK BALLOONS,7.0,,
GUITARS,7.0,,
SOCIAL MEDIA TAG,1.0,,
AMUSED EXPRESSION,7.0,,
SURPRISED EXPRESSION,7.0,,
THE KNOT DR. DETANGLING HOT AIR BRUSH,9.0,,
CONAIR,8.0,,
UPBEAT JINGLE,7.0,,
FEMININE VOICE,1.0,,
VISUAL AND AESTHETIC,8.0,,
ELECTRONIC MUSIC,9.0,,
ASCENDING/DESCENDING PATTERN,8.0,,
REPETITION,8.0,,
MELLOW ELECTRONIC BACKGROUND,8.0,,
CATCHY JINGLE,7.0,,
OPTIMISTIC AND PLAYFUL FEEL,8.0,,
TRANQUIL AND ATMOSPHERIC SOUNDSCAPE,1.0,,
WORDLESS VOCAL MELODY,8.0,,
WET HAIR,8.0,,
STYLING TECHNIQUES,9.0,,
HAIRCARE THEME,9.0,,
PRODUCT USE DEMONSTRATION,8.0,,
SPONSORED VIDEO INDICATORS,14.0,,
HAIR-PLAY GESTURE,8.0,,
TWISTING SECTIONS,8.0,,
DIY BEAUTY TIPS,9.0,,
HEALTHIER ALTERNATIVE,9.0,,
FRONTAL GAZE,8.0,,
ATTENTIVE EXPRESSION,1.0,,
HAIRCARE TUTORIAL,9.0,,
INDOOR BATHROOM SETTING,8.0,,
PEACH-COLORED SWEATSHIRT,7.0,,
SHOWER STALL,8.0,,
WHITE ABSTRACT PATTERN,1.0,,
FASHION SHOWCASE,8.0,,
MODERN URBAN SETTING,7.0,,
OUTFIT,8.0,,
OVERALL MOVEMENT,8.0,,
REFLECTIONS,6.0,,
SHADOW PATTERNS,1.0,,
NECKLACE WITH CROSS PENDANT,,5.0,
TIKTOK USERNAME AND LOGO,,6.0,
LOUD BEEP,,1.0,
ZANA BAYNE X PARADE,,7.0,
PERSONAL SPACE OR STUDIO,,6.0,
DANCE SEQUENCE,,14.0,
MODERN FLOOR LAMP,,5.0,
WHITE SHOES,,6.0,
FASHION TIPS,,7.0,
DYNAMIC FACIAL EXPRESSIONS,,7.0,
INDOOR DECOR,,6.0,
SELF-EXPRESSION THEME,,7.0,
MUSIC AND DANCE INTEREST,,7.0,
NECKLACE AND EARRINGS,,6.0,
WIRELESS EARBUDS,,6.0,
LARGE CARDBOARD BOX,,6.0,
ALFRED'S GIVEAWAY,,1.0,
VLOG-STYLE VIDEO,,6.0,
GIVEAWAY,8.0,,
ALFRED ANNIVERSARY BLEND,7.0,,
ALFRED X BODUM COFFEE GRINDER,7.0,,
ALFRED BODUM COLD BREW MAKER,7.0,,
CRINKLING SOUND,6.0,,
BODUM,7.0,,
ICED COFFEE AT HOME,6.0,,
GIFT CARDS,6.0,,
CUPS,1.0,,
ALFRED,8.0,,
MENTAL HEALTH BREAK THEME,8.0,,
DRINK,7.0,,
CASUAL POSTURE,1.0,,
INSTAGRAM STORIES,7.0,,
SOCIAL MEDIA PRESSURE,8.0,,
HOME-LIKE BACKGROUND,9.0,,
SOCIAL MEDIA WATERMARKS,7.0,,
DRINK WITH STRAW,5.0,,
FEMALE SINGER'S EMOTIONAL BALLAD,1.0,,
WINDOW WITH BLINDS,7.0,,
FRAMED PICTURE OR ARTWORK,7.0,,
LIGHT-COLORED SWEATER,6.0,,
PIANO CHORDS,7.0,,
HEARTBREAK AND BETRAYAL LYRICS,1.0,,
MENTAL HEALTH TOPIC,9.0,,
LUXURIOUS HOTEL,8.0,,
POOL SCENE,7.0,,
ROOM INSPECTION,7.0,,
DINING EXPERIENCE,7.0,,
OVERALL HUMOR,9.0,,
POV STYLE,8.0,,
HOTEL SNOB,8.0,,
BLUESY MALE VOCAL,1.0,,
BARGAIN SERIES,,7.0,
PARAMOUNT+,8.0,6.0,1.3333333333333333
BIOHAZARD PROP,,7.0,
PROMOTIONAL BACKDROP,,6.0,
THEMATIC ELEMENTS,,1.0,
THEMED EVENT,,6.0,
OCTOBER 5 RELEASE DATE,,6.0,
AWARDS AND FESTIVAL LOGOS,,6.0,
RED BANNER,8.0,,
BACKGROUND DESIGN,8.0,,
AUDIO REVIEW,9.0,,
REVIEWER,9.0,,
"MINISERIES ""BARGAIN""",10.0,,
TIFF PREMIERE,8.0,,
ORGAN TRAFFICKING OPERATION,9.0,,
CATASTROPHIC EARTHQUAKE,9.0,,
HOTEL,1.0,,
KOREAN DRAMA FANS,7.0,,
BRACKET-STYLE GAME,,7.0,
STEVE MADDEN,8.0,7.0,1.1428571428571428
SHOE MODELS,,6.0,
STEVE MADDEN LOGO,,7.0,
INTERACTIVE GAME FORMAT,,7.0,
MINIMAL HAND GESTURES,,6.0,
GRAPHIC TEXT AND ICONS,7.0,,
DECORATIVE SHOE,6.0,,
NEUTRAL BODY LANGUAGE,8.0,,
WINDOW WITH CLOSED BLINDS,7.0,,
SHELF WITH DECORATIVE ITEMS,7.0,,
INTONATION,8.0,,
PACE,1.0,,
SHOE SELECTION TASK,1.0,,
ON-SCREEN COMMENT,8.0,,
SOCIAL HANDLE,8.0,,
NIGERIAN LAW,9.0,,
TREADMILL,8.0,,
FITNESS TIPS,9.0,,
GYM OR HOME WORKOUT AREA,7.0,,
RUNNING POSTURE,8.0,,
GREEN VINTAGE VOLKSWAGEN CAMPER VAN,9.0,,
ORNAMENT,6.0,,
ROOF VENT OR POP-UP FEATURE,6.0,,
SIDE LOCKS AND HANDLES,6.0,,
REFLECTIVE HUBCAPS,6.0,,
LIGHT-COLORED HOUSE,6.0,,
PALM TREE,6.0,,
SUNNY WEATHER,6.0,,
HEAVY BEAT,7.0,,
DISTORTED SYNTH,7.0,,
LOUD MUSIC,7.0,,
SLANG AND INFORMAL LANGUAGE,7.0,,
VOLUME LEVELS,6.0,,
CLIPPING,6.0,,
PITCH ANALYSIS,6.0,,
LAUGHS,6.0,,
SKINCARE DISCUSSION,7.0,,
YOUNGER FEMALE SPEAKER,7.0,,
OLDER FEMALE SPEAKER,7.0,,
SUNSCREEN DISCUSSION,8.0,,
AUTHORITATIVE TONE,7.0,,
ENGAGING TONE,1.0,,
TROPICAL SETTING,8.0,,
OOTN CLIP,8.0,,
WHITE LONG-SLEEVE TOP,7.0,,
BLUE JEANS,7.0,,
GLOSSIER,7.0,,
POTTERY EVENT,7.0,,
AMBIENT CITY NOISE,7.0,,
RUSTLING CLOTHES,7.0,,
BAG ZIPPING,1.0,,
KITCHEN ELEMENTS,8.0,,
BAG DESCRIPTION,7.0,,
SIGN-OFF,1.0,,
FOXTAIL PRODUCTS,8.0,,
EVERYDAY LIFE EXPERIENCES,8.0,,
SURPRISED REACTION,8.0,,
HUMOROUS REACTION,8.0,,
COILY HAIR,8.0,,
CO-WASH,8.0,,
LEAVE-IN CONDITIONER,8.0,,
CURL CREAM,8.0,,
BEFORE-AND-AFTER COMPARISON,8.0,,
STRETCH AND TWISTING STYLE,8.0,,
BRAND PARTNERSHIP,7.0,,
ENGAGEMENT THROUGH APPLICATION,7.0,,
RAISED EYEBROWS,7.0,,
WIDE EYES,7.0,,
LAUGHING,7.0,,
SIDE SMILE WITH RAISED EYEBROW,7.0,,
INITIAL GAZE,7.0,,
HEAD TILTS,7.0,,
GAZE SHIFTS,7.0,,
LEFT HAND GESTURE,7.0,,
THUMB AND INDEX FINGER PINCH,7.0,,
UPRIGHT AND RELAXED POSTURE,7.0,,
SMILING,7.0,,
LIGHT-HEARTED MOMENT,8.0,,
PARENTING TIPS THEME,,7.0,
SUBSCRIPTION BOX,,7.0,
ACTIVITY KITS,,7.0,
TWINS,9.0,8.0,1.125
GREEN BOX,8.0,7.0,1.1428571428571428
CAR SEAT SETTING,,1.0,
SUMMER VACATION,8.0,,
KIWICO CRATES,9.0,,
ROAD TRIP,1.0,,
SPONSORED POST,7.0,,
ULTRA VIOLETTE QUEEN SCREEN,1.0,,
SUNSCREEN BOTTLE,15.0,,
MINIMALIST SETTING,1.0,,
SUNSCREEN PRODUCT,8.0,,
PITCH FLUCTUATIONS,8.0,,
WHITE CAST,8.0,,
GLOWING SKIN,8.0,,
SPF 50+,8.0,,
NOT A PAID SPONSORSHIP,9.0,,
BEAUTY VLOGGING GENRE,7.0,,
SKINCARE ROUTINE,8.0,,
OUTDOOR URBAN SETTING,8.0,,
BRANDED BAG,7.0,,
HIP-HOP SONG,8.0,,
FEMALE RAPPER,1.0,,
ORNATE DOORWAY,7.0,,
METAL GRILL,6.0,,
STREET STYLE,9.0,,
KITCHEN SETUP,,6.0,
FAST-FOOD MEAL,,7.0,
BRANDED PRODUCTS,,7.0,
TACO BELL'S BREAKFAST CRUNCHWRAP,9.0,,
HANGING POTS AND PANS,7.0,,
BRICK WALL BACKGROUND,7.0,,
PAPER BAG WITH LOGO,7.0,,
COLD DRINK WITH STRAW,7.0,,
PACKAGED SNACKS,1.0,,
GESTURES AND BODY LANGUAGE,8.0,,
ENGAGEMENT WITH PRODUCT,9.0,,
FOOD AND DRINK ITEMS,8.0,,
WALL UTENSILS,7.0,,
WOODEN SHELVES,7.0,,
SOUNDS OF FOOD BEING HANDLED,8.0,,
AUDIO DYNAMICS,8.0,,
EMPHASIS REPETITION,8.0,,
HUMOR,8.0,,
TORTILLA DUALITY,7.0,,
DYNAMIC TEXTURAL CONTRAST,1.0,,
BREAKFAST ITEM,8.0,,
COFFEE SHOP SETTING,,6.0,
"STORY ""THE PUNCH""",,7.0,
GLASS PARTITIONS,,5.0,
WOODEN TABLE AND METAL STOOLS,,5.0,
SIGNS ON WOODEN WALLS,,5.0,
DIVIDER GLASS PANELS,,5.0,
HUMOROUS TONE,,7.0,
KOSAS PRODUCT,8.0,,
FEMALE NARRATOR,8.0,,
DREAM BEAM SUNSCREEN,8.0,,
REVEALER SKIN-IMPROVING FOUNDATION,7.0,,
GLOW IV VITAMIN INFUSED SKIN ENHANCER,7.0,,
KOSAS WET LIP OIL,7.0,,
AIR BROW VOLUMIZING GEL,1.0,,
VOICE-OVER NARRATION,9.0,,
PRODUCT BENEFITS,9.0,,
NATURAL LOOK,8.0,,
WATER-RESISTANT FEATURE,1.0,,
BEACH DAY MAKEUP LOOK,8.0,,
ANIMATED SCENE,,7.0,
ROWBOAT,,6.0,
CROW,7.0,5.0,1.4
MOON,,6.0,
MOUNTAINOUS LANDSCAPE,,5.0,
NIGHT SKY,,6.0,
DIGITAL PAINTING STYLE,,1.0,
BODY OF WATER,,6.0,
FULL MOON,8.0,,
NIGHT-TIME BACKDROP,8.0,,
8-BIT SOUNDTRACK,7.0,,
DESCENDING VOCALIZATION,6.0,,
BASSLINE PULSE,1.0,,
HOSPITAL,6.0,,
MASK,6.0,,
JAB,6.0,,
BOAT,7.0,,
